SOC,Occupation,Mean,Entry Level,Experienced,10%,25%,50% (Median),75%,90%
51-4071,Foundry Mold and Coremakers,57700,51800,60600,52000,52000,54500,65800,69100
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",43200,34600,47400,32400,38300,40500,48000,61300
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",36500,28200,40700,29000,29000,39000,39500,39500
51-4111,Tool and Die Makers,65400,45000,75500,41200,52800,64400,75000,86800
51-4121,"Welders, Cutters, Solderers, and Brazers",52100,38900,58800,38600,41300,51800,58100,65700
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",46800,38100,51100,38100,39500,45900,52000,59800
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",46400,38700,50300,38200,39900,43200,50100,61500
51-4192,"Layout Workers, Metal and Plastic",62500,45500,71000,44100,49800,61500,70400,85100
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",51900,38700,58500,37700,40600,42100,50000,108600
51-4194,"Tool Grinders, Filers, and Sharpeners",56400,35200,66900,31900,42400,60000,63300,73700
51-4199,"Metal Workers and Plastic Workers, All Other",40500,34400,43500,33400,36300,38300,44700,51100
51-5111,Prepress Technicians and Workers,51400,38000,58100,35300,43500,51000,58500,65700
51-5112,Printing Press Operators,42300,32800,47000,32900,34000,40200,47500,52900
51-5113,Print Binding and Finishing Workers,43700,35100,48100,32600,39200,41200,50300,52400
51-6011,Laundry and Dry-Cleaning Workers,29500,23100,32600,23100,24200,29300,32200,35000
51-6021,"Pressers, Textile, Garment, and Related Materials",27800,19400,32000,19900,19900,28500,32400,37100
51-6031,Sewing Machine Operators,34500,27200,38100,27300,28200,34600,38500,39400
51-6041,Shoe and Leather Workers and Repairers,34200,24900,38800,21200,30200,33400,41900,41900
51-6042,Shoe Machine Operators and Tenders,37600,26900,43000,24900,31000,38400,43400,47700
51-6051,"Sewers, Hand",40600,31400,45300,30800,33600,41300,46600,49200
51-6052,"Tailors, Dressmakers, and Custom Sewers",37600,24800,44000,21100,30200,35200,41200,57600
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,40800,30500,45900,29900,33100,41600,48300,49500
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",39900,28700,45400,25900,33900,42300,43900,47300
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",41100,33800,44700,30900,38500,40700,44600,48500
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",39900,37000,41300,36500,38000,39900,42400,44300
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",48300,41500,51700,41300,42800,47200,52200,60500
51-6092,Fabric and Apparel Patternmakers,70500,37900,86800,35500,44900,67500,90000,110600
51-6093,Upholsterers,52900,32800,62900,30200,38700,51800,60400,79700
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",37600,31900,40400,31300,33100,33900,43200,48600
51-7011,Cabinetmakers and Bench Carpenters,42000,34200,45900,32100,37700,40400,47600,51000
51-7021,Furniture Finishers,41400,31200,46500,30900,32900,39400,48400,61300
51-7031,"Model Makers, Wood",59600,32600,73100,26200,42000,53400,81300,96300
51-7032,"Patternmakers, Wood",59400,44500,66900,43200,47900,55100,79500,85300
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",41000,31100,45900,30000,34100,40600,47400,51900
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",36900,32000,39300,32500,32500,38400,38800,39800
51-7099,"Woodworkers, All Other",43300,36000,47000,34200,38600,38600,45100,66400
51-8011,Nuclear Power Reactor Operators,121900,101400,132100,99500,107100,121700,130300,150600
51-8012,Power Distributors and Dispatchers,128600,76000,154900,68200,93700,129200,154700,176300
51-8013,Power Plant Operators,97100,60200,115600,54700,73800,107600,120900,128100
51-8021,Stationary Engineers and Boiler Operators,72800,62700,77900,60500,66800,71400,75000,91600
51-8031,Water and Wastewater Treatment Plant and System Operators,53900,40400,60700,37300,46500,54700,64700,64800
51-8091,Chemical Plant and System Operators,62000,47700,69200,46400,52100,65000,71100,75800
51-8092,Gas Plant Operators,92400,71200,103100,66400,80900,94900,107000,113300
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",83700,58100,96500,56600,64100,83700,99900,111100
51-8099,"Plant and System Operators, All Other",60600,40700,70500,39500,44500,54300,73400,78700
51-9011,Chemical Equipment Operators and Tenders,51200,34000,59900,32000,38800,49800,60700,76900
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",49500,33200,57700,31800,37600,49700,57800,68500
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",43700,37000,47000,36200,38600,41200,49300,52900
51-9022,"Grinding and Polishing Workers, Hand",43400,32200,49000,31900,34000,40900,49500,61400
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",49000,41800,52600,39400,45600,46800,48700,70100
51-9031,"Cutters and Trimmers, Hand",41700,23800,50600,24400,24400,33100,43200,105800
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",44300,33200,49800,31600,36600,41900,51000,61400
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",47100,35200,53100,32100,40900,47700,53600,59500
