SOC,Occupation,Mean,Entry Level,Experienced,10%,25%,50% (Median),75%,90%
17-2071,Electrical Engineers,130500,82700,154400,79600,92900,121900,166300,208700
17-2072,"Electronics Engineers, Except Computer",126600,80900,149500,74200,96300,125500,158800,178000
17-2081,Environmental Engineers,101800,69900,117700,66800,78000,96200,127200,141900
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",110400,69900,130700,64400,82600,106000,135100,166900
17-2112,Industrial Engineers,101900,71300,117200,69500,78600,102500,128100,135600
17-2121,Marine Engineers and Naval Architects,91700,68800,103100,64200,76100,80100,113900,113900
17-2131,Materials Engineers,103900,65100,123400,67400,67700,98100,126800,167600
17-2141,Mechanical Engineers,109600,74000,127300,70500,82100,97300,135000,165100
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",105000,69100,122900,63500,80800,98900,125700,157100
17-2161,Nuclear Engineers,135600,82700,162100,76100,98500,131200,164000,199800
17-2171,Petroleum Engineers,145100,87600,173900,79300,105600,136000,182000,216700
17-2199,"Engineers, All Other",81700,66100,89600,65200,67400,67400,95900,123200
17-3011,Architectural and Civil Drafters,66300,47500,75700,41900,57200,65800,71200,80100
17-3012,Electrical and Electronics Drafters,81900,55300,95200,50400,65000,78000,96300,107700
17-3013,Mechanical Drafters,72000,46200,84900,43100,53200,66200,88000,101000
17-3019,"Drafters, All Other",61500,42000,71200,40300,46500,56900,73100,90600
17-3021,Aerospace Engineering and Operations Technologists and Technicians,82000,56500,94800,53500,63400,77100,97800,114700
17-3022,Civil Engineering Technologists and Technicians,61400,42800,70800,39700,49000,58200,71900,84100
17-3023,Electrical and Electronic Engineering Technologists and Technicians,77600,50800,91100,47800,58400,75500,89400,113700
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,70000,54600,77700,51600,60200,66800,74200,98400
17-3025,Environmental Engineering Technologists and Technicians,66100,42000,78200,37800,50900,68600,85400,85400
17-3026,Industrial Engineering Technologists and Technicians,68800,49100,78700,49500,50900,63500,75900,98200
17-3027,Mechanical Engineering Technologists and Technicians,70500,47600,81900,46300,52300,66700,82800,97400
17-3028,Calibration Technologists and Technicians,67600,44400,79200,41000,51900,65000,83700,96600
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",65600,43400,76800,41100,49200,61600,82200,95900
17-3031,Surveying and Mapping Technicians,48900,32600,57000,30600,37000,44200,63300,73800
19-1011,Animal Scientists,88800,44400,111000,47600,47600,91900,106900,133400
19-1012,Food Scientists and Technologists,62500,31300,78100,28100,37900,56400,83700,111600
19-1013,Soil and Plant Scientists,62000,43400,71300,39500,51000,61200,65000,88800
19-1021,Biochemists and Biophysicists,91300,60200,106900,57500,67300,83900,107700,134300
19-1022,Microbiologists,83100,58500,95400,55400,65500,78600,99300,120100
19-1023,Zoologists and Wildlife Biologists,56800,43000,63700,42800,44600,52000,62800,82400
19-1029,"Biological Scientists, All Other",71800,58000,78700,55800,63200,73200,80200,89700
19-1031,Conservation Scientists,62300,44200,71400,41000,50000,56000,77700,96300
19-1032,Foresters,56100,34200,67100,26800,44800,52200,67100,81000
19-1041,Epidemiologists,59700,41300,68800,41100,44000,55500,76600,89900
19-1042,"Medical Scientists, Except Epidemiologists",85000,60400,97300,57200,66800,76700,96700,138200
19-1099,"Life Scientists, All Other",58600,41000,67400,40000,45800,62500,63000,75600
19-2011,Astronomers,105800,68400,124500,63300,80500,104400,139100,149900
19-2012,Physicists,127300,75900,153000,70700,87600,108500,179000,238900
19-2021,Atmospheric and Space Scientists,77500,42900,94800,37700,53300,73200,102500,126600
19-2031,Chemists,77200,50300,90700,46800,58700,76100,95100,112500
19-2032,Materials Scientists,77500,52300,90100,51800,55300,67000,98700,121900
19-2041,"Environmental Scientists and Specialists, Including Health",79700,48500,95300,45900,55000,68300,86900,112600
19-2042,"Geoscientists, Except Hydrologists and Geographers",63100,47100,71100,46200,49100,52500,77000,99900
19-2043,Hydrologists,78000,55400,89300,52600,61900,74200,91800,110700
19-2099,"Physical Scientists, All Other",102000,74700,115700,69500,86200,105800,127000,133100
19-3011,Economists,114000,79700,131100,72900,92000,104100,135900,178100
19-3022,Survey Researchers,47600,33600,54600,34100,34100,40400,51900,69800
19-3032,Industrial-Organizational Psychologists,107300,57500,132300,50000,71800,91900,161600,182300
19-3033,Clinical and Counseling Psychologists,59200,27200,75200,19900,35900,43900,84400,130100
19-3034,School Psychologists,76200,54200,87300,46400,67500,78000,87500,101300
19-3039,"Psychologists, All Other",86700,48400,105800,51400,51400,90800,116700,127600
19-3041,Sociologists,88100,57800,103200,54000,66400,81900,107400,133500
19-3051,Urban and Regional Planners,63300,46000,71900,43700,51500,61700,75000,93500
19-3091,Anthropologists and Archeologists,48300,36900,54000,37000,37500,40900,62800,71000
19-3092,Geographers,77500,56500,88000,53900,63000,76900,92100,104700
19-3093,Historians,60200,42500,69000,41200,45400,49800,76200,100700
19-3094,Political Scientists,65500,48500,74000,44900,55500,64300,75800,89000
19-3099,"Social Scientists and Related Workers, All Other",76400,62100,83600,60700,65500,72300,86100,104500
19-4012,Agricultural Technicians,37500,28400,42100,27000,31400,37500,45000,47800
19-4013,Food Science Technicians,40400,30800,45200,30400,32000,35000,50300,60100
19-4021,Biological Technicians,42300,33500,46600,32300,36100,40200,48500,56200
19-4031,Chemical Technicians,45900,32400,52600,32000,34400,42200,50900,80400
19-4042,"Environmental Science and Protection Technicians, Including Health",47700,32800,55100,31100,36800,44300,55500,69800
19-4043,"Geological Technicians, Except Hydrologic Technicians",46300,30600,54100,29300,33800,40100,52800,74500
19-4044,Hydrologic Technicians,53400,37300,61400,36700,40400,51300,63500,79400
19-4051,Nuclear Technicians,80000,60200,89900,56100,68900,82200,89400,99400
19-4061,Social Science Research Assistants,60800,36900,72800,34700,42000,52400,75900,105500
19-4071,Forest and Conservation Technicians,45500,30000,53200,27200,35000,40300,53400,67200
19-4092,Forensic Science Technicians,49600,35600,56600,34300,39100,47600,60600,67100
19-4099,"Life, Physical, and Social Science Technicians, All Other",46500,38800,50300,34900,44500,44500,48600,57900
19-5011,Occupational Health and Safety Specialists,91200,61300,106100,53900,75500,92600,107300,126800
19-5012,Occupational Health and Safety Technicians,52400,41000,58100,40700,42600,47900,62300,76400
21-1012,"Educational, Guidance, and Career Counselors and Advisors",62400,44000,71600,42200,48200,56000,77900,84100
21-1013,Marriage and Family Therapists,64100,38800,76700,30000,51600,56900,73600,93000
21-1015,Rehabilitation Counselors,47500,38200,52200,36200,41700,44800,53500,65700
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",62600,43500,72200,41600,48400,59600,73000,88100
21-1019,"Counselors, All Other",62100,29400,78500,23500,37400,60300,89900,103900
21-1021,"Child, Family, and School Social Workers",54000,40400,60800,39300,43200,49500,56600,70800
21-1022,Healthcare Social Workers,63100,42400,73400,39700,48800,61400,71000,84800
21-1023,Mental Health and Substance Abuse Social Workers,50900,34400,59100,31400,40300,48400,58500,75500
21-1029,"Social Workers, All Other",83000,48500,100300,44700,58700,87000,103400,118200
21-1091,Health Education Specialists,75400,48800,88800,47900,53400,70100,99400,108600
21-1092,Probation Officers and Correctional Treatment Specialists,59000,49900,63600,48100,53400,58100,63100,68900
21-1093,Social and Human Service Assistants,38300,28800,43100,28100,31000,37100,44500,50500
21-1094,Community Health Workers,48800,36600,54900,34200,41200,46300,53600,69000
21-1099,"Community and Social Service Specialists, All Other",42400,26400,50400,16000,36300,42600,50400,67200
21-2011,Clergy,58600,43800,66000,44200,44700,51700,64100,73700
21-2021,"Directors, Religious Activities and Education",73000,53200,82900,50600,59000,68600,90900,94000
21-2099,"Religious Workers, All Other",42300,27400,49800,27100,29100,35100,48600,63000
23-1011,Lawyers,130900,69800,161500,66600,80700,113600,147900,220800
23-1012,Judicial Law Clerks,51100,35900,58700,34600,38700,43500,53600,70400
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",75000,43400,90800,41700,47400,55300,106700,164900
23-1022,"Arbitrators, Mediators, and Conciliators",69600,44400,82200,41000,50300,55400,81100,106100
23-1023,"Judges, Magistrate Judges, and Magistrates",122200,54400,156100,57400,57400,94500,154200,186600
23-2011,Paralegals and Legal Assistants,53500,35000,62700,33300,39300,48400,64400,80300
23-2093,"Title Examiners, Abstractors, and Searchers",32600,23000,37400,20600,26800,30400,40900,46200
23-2099,"Legal Support Workers, All Other",57800,41800,65800,42000,44100,57100,64900,68600
25-1011,"Business Teachers, Postsecondary",93600,47400,116700,40900,59600,79100,122800,162200
25-1021,"Computer Science Teachers, Postsecondary",92100,45200,115600,42400,54400,91100,121500,150300
25-1022,"Mathematical Science Teachers, Postsecondary",67800,42500,80500,38800,50300,62400,78200,100500
25-1031,"Architecture Teachers, Postsecondary",96100,61400,113400,56600,71800,90000,113700,145600
25-1032,"Engineering Teachers, Postsecondary",134200,108800,146900,99700,122100,122800,153600,199500
25-1041,"Agricultural Sciences Teachers, Postsecondary",96500,63600,113000,60200,73600,99800,121200,153000
25-1042,"Biological Science Teachers, Postsecondary",95500,56400,115100,52300,65200,80700,119900,157900
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",96800,78200,106000,79200,79500,93800,100300,117000
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",103700,72700,119200,54600,99600,108200,114700,143300
25-1052,"Chemistry Teachers, Postsecondary",91600,55000,109900,51700,63200,80600,117800,155200
25-1053,"Environmental Science Teachers, Postsecondary",87700,55800,103600,54300,60800,75100,118800,149700
25-1054,"Physics Teachers, Postsecondary",100100,64000,118100,60800,72700,94400,118600,156800
25-1061,"Anthropology and Archeology Teachers, Postsecondary",89300,53000,107400,49300,62700,84600,107700,147000
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",81000,49500,96800,47300,56000,73300,95600,121400
25-1063,"Economics Teachers, Postsecondary",115800,56100,145600,43000,76700,104900,141600,198000
25-1064,"Geography Teachers, Postsecondary",81900,59100,93300,59300,61800,77400,97500,111200
25-1065,"Political Science Teachers, Postsecondary",85800,50500,103400,45300,61200,77300,98500,151600
25-1066,"Psychology Teachers, Postsecondary",79200,48400,94600,42700,59200,74100,93200,125100
25-1067,"Sociology Teachers, Postsecondary",92600,54300,111700,49600,64300,80800,101000,156600
25-1069,"Social Sciences Teachers, Postsecondary, All Other",72100,41200,87600,38000,48400,62000,74800,130500
25-1071,"Health Specialties Teachers, Postsecondary",142900,65600,181600,60200,78700,106900,212400,275900
25-1072,"Nursing Instructors and Teachers, Postsecondary",71000,44400,84300,35400,58600,72300,78500,101200
25-1081,"Education Teachers, Postsecondary",63400,32900,78700,18600,47400,61400,74500,96400
25-1082,"Library Science Teachers, Postsecondary",68100,55100,74600,53500,58400,63200,73500,90300
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",65300,45200,75400,43500,49600,59800,73200,96300
25-1112,"Law Teachers, Postsecondary",121800,64300,150600,57300,79800,112700,152800,208800
25-1113,"Social Work Teachers, Postsecondary",69300,42700,82600,39700,49900,64700,76100,102700
25-1121,"Art, Drama, and Music Teachers, Postsecondary",82000,43200,101400,40300,51500,76700,100500,126300
25-1122,"Communications Teachers, Postsecondary",71700,43000,86100,38200,52100,64200,91200,122400
25-1123,"English Language and Literature Teachers, Postsecondary",66500,44300,77600,41700,50100,61300,76700,98600
25-1124,"Foreign Language and Literature Teachers, Postsecondary",69200,45000,81200,38200,56000,62700,81400,104500
25-1125,"History Teachers, Postsecondary",75300,52700,86600,48300,61600,74200,79700,101000
25-1126,"Philosophy and Religion Teachers, Postsecondary",73400,39700,90300,31400,52300,66300,91400,118700
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",73500,46900,86800,45000,52700,68600,87600,116300
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",63700,42300,74400,39300,49000,60900,73600,96300
25-1194,"Career/Technical Education Teachers, Postsecondary",55200,40900,62300,35000,50400,56000,63000,63000
25-1199,"Postsecondary Teachers, All Other",65100,47700,73800,47800,49700,60400,74500,94200
25-2011,"Preschool Teachers, Except Special Education",43400,30000,50100,30000,31600,39300,48900,61500
25-2012,"Kindergarten Teachers, Except Special Education",67200,50700,75500,51300,53100,69300,70400,92800
25-2021,"Elementary School Teachers, Except Special Education",64700,47000,73600,47900,48700,64800,68900,81000
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",66400,50600,74300,49500,54300,65900,76900,83800
25-2023,"Career/Technical Education Teachers, Middle School",72100,55000,80600,50900,62600,71300,81300,95500
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",66200,45300,76600,42900,51800,67000,80000,83200
25-2032,"Career/Technical Education Teachers, Secondary School",66200,56500,71000,54300,60200,63600,69300,82800
25-2051,"Special Education Teachers, Preschool",75200,58200,83700,54500,65400,75800,87400,92700
25-2052,"Special Education Teachers, Kindergarten and Elementary School",61500,38000,73300,39500,40200,63200,68600,87700
25-2057,"Special Education Teachers, Middle School",67200,52300,74700,46400,61700,66200,81200,85200
25-2058,"Special Education Teachers, Secondary School",69000,52500,77200,50200,58000,69100,75800,91600
25-2059,"Special Education Teachers, All Other",84000,59000,96400,55100,66800,77400,102200,133300
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",42800,34800,46800,33100,38300,43900,46500,50500
25-3021,Self-Enrichment Teachers,53300,31000,64500,25900,38900,49800,62700,87600
25-3031,"Substitute Teachers, Short-Term",58800,20700,77900,21300,21600,34700,59900,175700
25-3041,Tutors,40500,28000,46800,24400,33500,36800,42100,51400
25-3099,"Teachers and Instructors, All Other",56400,33200,68100,29800,40200,58000,67700,83100
25-4011,Archivists,59100,34900,71200,27600,45500,54800,71100,104000
25-4012,Curators,56000,37400,65300,35300,41900,50000,65000,95700
25-4013,Museum Technicians and Conservators,52700,30500,63800,28200,35600,47400,61900,88700
25-4022,Librarians and Media Collections Specialists,61800,43000,71100,35800,54100,58500,72800,83600
25-4031,Library Technicians,29300,16200,35900,16000,16000,30400,40200,41100
25-9021,Farm and Home Management Educators,45600,17200,59900,16700,17700,32900,46500,62500
25-9031,Instructional Coordinators,73800,53000,84100,47300,64000,77600,80500,91100
25-9044,"Teaching Assistants, Postsecondary",35900,20300,43700,15800,24300,36000,46700,46700
25-9045,"Teaching Assistants, Except Postsecondary",29000,21700,32700,20400,23900,25100,33200,38700
25-9099,"Educational Instruction and Library Workers, All Other",24800,20000,27200,20000,20000,20000,30600,37000
27-1011,Art Directors,123300,70900,149500,66800,84200,125700,148800,174700
27-1012,Craft Artists,50800,19700,66400,20300,20400,35500,61100,137100
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",61800,40500,72500,38300,46300,59400,65800,90300
27-1014,Special Effects Artists and Animators,77300,49400,91300,48600,54800,76000,94400,119200
27-1019,"Artists and Related Workers, All Other",104200,77300,117600,70300,91200,110100,120100,130100
27-1021,Commercial and Industrial Designers,85100,54200,100500,51900,61000,79100,111400,125900
27-1022,Fashion Designers,74200,55400,83600,52100,61900,70600,78700,100500
27-1023,Floral Designers,32000,23900,36100,22700,26400,31100,35900,41400
27-1024,Graphic Designers,56700,37100,66600,32900,44500,52100,62900,85200
27-1025,Interior Designers,68200,40600,82100,36300,48900,60400,79000,112600
27-1026,Merchandise Displayers and Window Trimmers,41500,29700,47400,28300,33000,39400,51900,55100
27-1027,Set and Exhibit Designers,58900,37500,69600,35100,42700,51900,66700,91900
27-1029,"Designers, All Other",73100,37900,90700,35800,44700,68500,94900,124800
27-2011,Actors,78800,25000,105700,20300,31200,40000,98700,211200
27-2012,Producers and Directors,65300,35900,79900,31400,44400,60900,79800,131500
27-2021,Athletes and Sports Competitors,219400,26900,315700,22700,31200,93400,170700,289600
27-2022,Coaches and Scouts,48300,26300,59400,24200,30500,39400,55500,78500
27-2023,"Umpires, Referees, and Other Sports Officials",33400,26500,36800,26300,27000,28200,42100,43000
27-2031,Dancers,48300,26300,59300,25000,29600,40300,61800,87600
27-2032,Choreographers,55000,33400,65700,32100,37700,50500,63900,83600
27-2041,Music Directors and Composers,67400,37200,82400,23300,53600,60000,91900,118000
27-2042,Musicians and Singers,74700,32900,95600,29500,40000,61100,88800,146500
27-2091,"Disc Jockeys, Except Radio",41800,24900,50300,21700,29900,44600,50800,65600
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",55300,18600,73600,18800,18800,45300,94700,94700
27-3011,Broadcast Announcers and Radio Disc Jockeys,51600,26500,64200,25000,29700,36200,59500,100400
27-3023,"News Analysts, Reporters, and Journalists",86000,35900,111000,35600,41000,75300,97200,161700
27-3031,Public Relations Specialists,74500,45800,88800,42300,52500,61500,78000,104800
27-3041,Editors,71400,41100,86500,39400,46900,65100,87500,121100
27-3042,Technical Writers,75500,48300,89100,49900,49900,70100,94000,115400
27-3043,Writers and Authors,75400,46200,90000,37800,59000,63700,82400,112900
27-3091,Interpreters and Translators,59900,34200,72700,31700,40500,59100,76200,91100
27-3092,Court Reporters and Simultaneous Captioners,61100,34300,74500,32500,40100,62900,74500,87600
27-3099,"Media and Communication Workers, All Other",68400,38100,83500,35400,44800,60200,93900,105400
27-4011,Audio and Video Technicians,55200,36900,64300,35500,40700,49700,65800,78100
27-4012,Broadcast Technicians,48500,30100,57700,28300,34600,46800,57400,73500
27-4014,Sound Engineering Technicians,57300,35000,68500,32200,40900,51300,73500,95600
27-4015,Lighting Technicians,56300,43300,62800,39700,49700,55900,61800,68600
27-4021,Photographers,49100,25500,60900,21300,31600,40200,60200,79300
27-4031,"Camera Operators, Television, Video, and Film",74400,33900,94600,33900,37900,61400,121200,136600
27-4032,Film and Video Editors,57700,46100,63500,45900,47200,51200,54700,98700
27-4099,"Media and Communication Equipment Workers, All Other",52500,26000,65800,23600,30600,43900,68300,99200
29-1011,Chiropractors,70900,37000,87900,29100,48800,61400,83400,126700
29-1021,"Dentists, General",218000,105300,274400,86600,139800,191500,237500,283900
29-1022,Oral and Maxillofacial Surgeons,173500,100300,210000,80800,132300,153000,185900,224800
29-1023,Orthodontists,186200,132800,212900,130500,137900,146500,164400,198400
29-1024,Prosthodontists,238600,146700,284600,101900,214300,269000,327900,397800
29-1029,"Dentists, All Other Specialists",178100,108800,212800,72400,160700,186700,217100,263100
29-1031,Dietitians and Nutritionists,73900,51800,85000,44200,64800,76300,85200,85700
29-1041,Optometrists,127500,84700,148900,79600,97500,125400,148200,193500
29-1051,Pharmacists,133200,104800,147500,104800,109600,134900,148900,189800
29-1071,Physician Assistants,124700,91800,141100,87300,103300,128200,137200,158000
29-1081,Podiatrists,153100,70700,194300,69000,83400,142800,207000,250700
29-1122,Occupational Therapists,110300,86200,122300,82200,95100,110500,118800,130700
29-1123,Physical Therapists,111500,88300,123000,82700,99100,112500,125200,129000
29-1124,Radiation Therapists,94800,76800,103800,75000,81700,92800,102800,122300
29-1125,Recreational Therapists,49700,33700,57800,29000,41500,48700,58300,70000
29-1126,Respiratory Therapists,78700,61600,87300,58300,68800,81200,87000,89200
29-1127,Speech-Language Pathologists,95100,60600,112300,57000,70600,95900,119800,119800
29-1128,Exercise Physiologists,60000,45500,67200,42900,49900,52800,63400,87500
29-1129,"Therapists, All Other",67600,42400,80100,40100,48600,62800,79900,103200
29-1131,Veterinarians,122200,81600,142600,72100,98500,114300,138400,197400
29-1141,Registered Nurses,87600,67400,97700,68800,68800,86700,99800,110800
29-1151,Nurse Anesthetists,239700,229200,245000,225700,234400,234600,245200,296800
29-1161,Nurse Midwives,120300,95500,132700,95800,99400,121200,142700,152300
29-1171,Nurse Practitioners,122100,109400,128400,106500,113900,115800,133400,139900
29-1181,Audiologists,95500,76100,105200,75000,81100,97900,97900,123000
29-1211,Anesthesiologists,235400,176500,264900,166300,193500,205100,227400,275000
29-1212,Cardiologists,396300,169100,510000,129000,235200,298900,362300,437400
29-1213,Dermatologists,318800,141500,407500,124800,177500,240200,291100,351500
29-1214,Emergency Medicine Physicians,272900,157300,330700,157300,157300,157300,189300,227300
29-1215,Family Medicine Physicians,318700,145200,405400,102600,211300,300600,358500,427100
29-1216,General Internal Medicine Physicians,294200,133400,374600,107700,181400,270900,309000,356000
29-1217,Neurologists,262400,105700,340800,87100,142200,228300,277500,335700
29-1218,Obstetricians and Gynecologists,282100,140800,352800,104800,198200,252300,305000,367400
29-1221,"Pediatricians, General",178100,121900,206100,124700,124700,159800,194300,235300
29-1222,"Physicians, Pathologists",244000,115400,308300,87400,161800,224600,273100,330700
29-1223,Psychiatrists,231800,108000,293700,99400,134500,222800,271100,328500
29-1224,Radiologists,329800,137900,425800,91000,205700,260800,316400,382300
29-1229,"Physicians, All Other",174000,73900,224000,73900,73900,73900,87900,104300
29-1241,"Ophthalmologists, Except Pediatric",305000,146100,384400,117000,197000,255300,307700,369800
29-1242,"Orthopedic Surgeons, Except Pediatric",334600,140500,431600,91700,210500,266900,323800,391300
29-1243,Pediatric Surgeons,413000,228100,505400,192100,295200,372700,453200,548700
29-1249,"Surgeons, All Other",432800,134400,582000,105700,186600,311300,366600,432300
29-1291,Acupuncturists,68100,44600,79900,40600,52100,60500,105800,105800
29-1292,Dental Hygienists,77500,65400,83600,65400,67600,79500,81700,94200
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",124400,80000,146600,71700,96800,120400,149500,170300
29-2011,Medical and Clinical Laboratory Technologists,66600,39700,80000,41200,42100,65800,89000,89000
29-2012,Medical and Clinical Laboratory Technicians,66600,39700,80000,41200,42100,65800,89000,89000
29-2031,Cardiovascular Technologists and Technicians,66500,37400,81000,35400,43000,58100,80400,99600
29-2032,Diagnostic Medical Sonographers,72100,47100,84700,43000,56100,72300,85600,95200
29-2033,Nuclear Medicine Technologists,87100,70100,95600,66700,76900,86300,99400,105400
29-2034,Radiologic Technologists and Technicians,67500,52100,75200,53200,53200,67000,70300,84600
29-2035,Magnetic Resonance Imaging Technologists,82200,63700,91500,59500,72200,83700,94700,99000
29-2036,Medical Dosimetrists,153100,124200,167600,120500,133600,153800,187300,188200
29-2042,Emergency Medical Technicians,43900,34700,48500,33000,38300,44800,47200,54200
29-2043,Paramedics,54700,37100,63600,36000,41500,55600,67800,67800
29-2051,Dietetic Technicians,36400,24500,42300,24200,25700,29600,39600,63000
29-2052,Pharmacy Technicians,41100,34500,44400,33100,36900,39000,45200,49900
29-2053,Psychiatric Technicians,41600,34200,45300,34700,34700,41400,45400,45400
29-2055,Surgical Technologists,57400,45400,63300,45600,46900,55900,60900,75400
29-2056,Veterinary Technologists and Technicians,36900,30200,40200,30800,30800,37700,39100,50600
29-2057,Ophthalmic Medical Technicians,40900,37100,42800,35800,38900,39300,45500,47700
29-2061,Licensed Practical and Licensed Vocational Nurses,59400,48200,65000,46500,52300,61000,65500,69600
29-2072,Medical Records Specialists,49300,35000,56400,34500,37500,45900,53500,69400
29-2081,"Opticians, Dispensing",48900,38700,54000,38300,39800,42100,62900,66300
29-2091,Orthotists and Prosthetists,73200,38400,90500,33800,47800,74000,95200,109500
29-2092,Hearing Aid Specialists,52500,34600,61400,30700,41900,52300,58100,75400
29-2099,"Health Technologists and Technicians, All Other",49800,37800,55700,37500,39600,46800,53600,63800
29-9021,Health Information Technologists and Medical Registrars,55800,39700,63800,37600,43600,47600,68700,81500
29-9091,Athletic Trainers,66000,47300,75400,45400,51800,60700,73300,99600
29-9092,Genetic Counselors,94300,76500,103200,74400,81500,91400,104200,126100
29-9093,Surgical Assistants,53500,44100,58200,40000,50500,53000,53000,77600
29-9099,"Healthcare Practitioners and Technical Workers, All Other",72900,37000,90900,38600,39300,63500,101500,121200
31-1121,Home Health Aides,27900,23000,30300,22700,23800,25700,30900,35100
31-1122,Personal Care Aides,27900,23000,30300,22700,23800,25700,30900,35200
31-1131,Nursing Assistants,37200,31800,39900,30500,34100,36200,39700,44300
31-1132,Orderlies,33400,30100,35000,29200,31900,33500,33500,41800
31-1133,Psychiatric Aides,34700,28200,38000,26200,31800,35600,37600,40300
31-2011,Occupational Therapy Assistants,75600,57700,84600,56900,62300,80100,85400,99400
31-2012,Occupational Therapy Aides,39600,31100,43900,29800,33800,37700,43300,49300
31-2021,Physical Therapist Assistants,75700,58600,84200,56900,64200,80100,86600,88600
31-2022,Physical Therapist Aides,30700,23800,34200,23200,25600,30700,33500,37400
31-9011,Massage Therapists,58500,30600,72500,19900,42200,56900,80800,83000
31-9091,Dental Assistants,41900,37600,44100,37300,38300,39000,47900,50500
31-9092,Medical Assistants,39900,34100,42800,32300,37100,39300,44700,48100
31-9093,Medical Equipment Preparers,42000,35000,45500,35700,35700,43500,47300,49600
31-9094,Medical Transcriptionists,41700,27200,49000,25700,31000,41500,49200,56700
31-9095,Pharmacy Aides,35900,28400,39700,27000,30800,33800,39900,48700
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,35100,31100,37100,31300,31600,34900,37200,44000
31-9097,Phlebotomists,42700,37400,45300,36700,38800,41300,45900,48400
31-9099,"Healthcare Support Workers, All Other",49100,27200,60000,25200,31800,47700,55800,71600
33-1011,First-Line Supervisors of Correctional Officers,59500,50900,63800,51100,51600,57200,62200,73400
33-1012,First-Line Supervisors of Police and Detectives,86100,58100,100100,54800,66600,85000,96500,114900
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,67400,52500,74800,49900,58300,68500,68500,79300
33-1091,First-Line Supervisors of Security Workers,61000,40500,71300,35300,50000,62500,66800,81400
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",71600,45000,84900,42900,52200,74800,86900,96300
33-2011,Firefighters,50800,43300,54500,39500,48900,48900,57300,59100
33-2021,Fire Inspectors and Investigators,66000,45400,76300,42600,51900,64200,76000,89400
33-2022,Forest Fire Inspectors and Prevention Specialists,47700,40600,51300,41000,41000,45900,53100,57900
33-3011,Bailiffs,92500,31500,123000,29100,37400,58500,175300,184400
33-3012,Correctional Officers and Jailers,47200,41900,49800,41600,43200,46700,51200,52700
33-3021,Detectives and Criminal Investigators,75700,59300,83900,57100,63700,69900,77000,90400
33-3031,Fish and Game Wardens,70200,55300,77700,52100,61800,71900,78800,85600
33-3041,Parking Enforcement Workers,37500,34600,39000,34400,35100,36300,37200,44200
33-3051,Police and Sheriffs Patrol Officers,52200,48700,54000,48700,48700,48700,54100,60000
33-3052,Transit and Railroad Police,74700,53100,85600,51800,57300,68600,93900,115900
33-9011,Animal Control Workers,39800,32600,43400,30700,35900,39100,43800,50400
33-9021,Private Detectives and Investigators,54300,39200,61800,38900,40600,45500,59800,92200
33-9031,Gambling Surveillance Officers and Gambling Investigators,37900,29900,41900,29300,31700,36100,41400,50700
33-9032,Security Guards,38400,26100,44500,23200,31000,36100,43900,59200
33-9091,Crossing Guards and Flaggers,37500,22100,45300,22300,23400,33500,40400,73400
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",31000,25200,33900,24300,27300,31100,33900,36900
33-9093,Transportation Security Screeners,57800,44300,64600,41400,50600,61200,65200,67200
33-9094,School Bus Monitors,28300,18700,33200,15900,21300,29000,34100,37100
33-9099,"Protective Service Workers, All Other",35000,24200,40300,25000,25000,34800,39000,43000
35-1011,Chefs and Head Cooks,53400,32300,63900,29100,38700,50900,60800,82400
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,40700,29000,46500,28900,30600,38200,48700,60800
35-2011,"Cooks, Fast Food",27200,22500,29600,22000,23800,26200,30300,33600
35-2012,"Cooks, Institution and Cafeteria",33700,27800,36600,26500,30100,32100,37700,42000
35-2013,"Cooks, Private Household",43000,35200,46900,33900,37300,38600,40700,78100
35-2014,"Cooks, Restaurant",33000,26400,36300,24600,29700,32500,37600,39800
35-2015,"Cooks, Short Order",26000,21000,28500,21100,21100,22400,31200,37000
35-2019,"Cooks, All Other",35200,27200,39200,26600,29200,34900,40600,40600
35-2021,Food Preparation Workers,32500,26500,35500,24800,29500,32200,36100,38300
